"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SCHL","Scholastic Corporation","21.22","$725.79M","1992","Consumer Services","Books","https://old.nasdaq.com/symbol/schl",
"SDGR","Schrodinger, Inc.","55.84","$3.86B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sdgr",
"SAMA","Schultze Special Purpose Acquisition Corp.","10.17","$164.91M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sama",
"SAMAU","Schultze Special Purpose Acquisition Corp.","11.45","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/samau",
"SAMAW","Schultze Special Purpose Acquisition Corp.","0.5","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/samaw",
"SJ","Scienjoy Holding Corporation","5.9","$159.52M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/sj",
"SGMS","Scientific Games Corp","33.56","$3.19B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/sgms",
"SCPL","SciPlay Corporation","14.22","$324.04M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/scpl",
"SCPH","scPharmaceuticals Inc.","8.64","$236.04M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/scph",
"WORX","SCWorx Corp.","1.34","$12.72M","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/worx",
"SCYX","SCYNEXIS, Inc.","4.92","$52.16M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/scyx",
"SEAC","SeaChange International, Inc.","0.8246","$30.97M","1996","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/seac",
"SBCF","Seacoast Banking Corporation of Florida","20.41","$1.12B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sbcf",
"STX","Seagate Technology PLC","51.69","$13.26B","2002","Technology","Electronic Components","https://old.nasdaq.com/symbol/stx",
"SGEN","Seagen Inc. ","197.71","$34.4B","2001","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/sgen",
"SHIP","Seanergy Maritime Holdings Corp","0.4437","$29.42M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/ship",
